sheezy0,i sing my own rhythm.
DavdBurnett,i'm the author of novels filled with family drama and romance.
douggarland,"mobile guy. $number$ers, shazam, google, kleiner perkins, yahoo!, sprint pcs, airtouch, air force. stanford gsb, uva. dad, husband, brother. golfer."
RobinMeske,the secret of getting ahead is getting started.
SSmyth2010,"over enthusiastic f1 fan. model collector, music fan and a film fanatic. also an aspergian."
StrictlyAri,you had me from the start
JHurkett,bsc economics graduate $hashtag$
HalRappaport,"award winning author of the paranormal romance thriller, hath no fury technology writer, $url$ $hashtag$"
TB12ForPrez,k-smooty~i drink alot. could be worse. i'm scrolling through your girl's nudes while watching brady beat your team. $hashtag$ $hashtag$ $hashtag$
300Stain,free ma bros $hashtag$ $hashtag$ $hashtag$ ! all i kno is grind wea i come from
brandonpattrson,"lover of women, dogs/cats (dogs), movies, comics, tv, video games, books, wrestling, existentialism adult ent?"
danydifazio,militante y obrero de los sueos revolucionarios desde toda la vida... chavista de coraz_n!... comandante vives x100pre!
KABULALA,kennedy j abulala ni mwalimu anayeienzi kazi yake.....mwalimu wa kiswahili.
DJKRO,[ krothedj$mention$.com ] [ instagram - djkro ]
OllieC9897,just living life at the top of the food chain
sh6ne,warholian obsessor creating within an orwellian nightmare. $mention$ $mention$
Scott_Ryan_,the blades. instagram - scottryan16.
manikarthik,just a curious guy.
MrABPhotog,"for any photography bookings or enquiries dm, call me on $number$ or email me at abphotography1989$mention$.com insta:$mention$.b_photography25 $hashtag$"
alanhudson1,"following the money, opening governance, fighting corruption! $mention$ $mention$ tweets my own."
cyrusodessa,"lover of the truth, seeker of knowledge"
WisemanKayo,why chase trends when you can make a statement? $hashtag$ $url$
JakeElman,"sportswriter, cigar lover, dreamer. pro writer for $mention$, $mention$ ambassador, and suffering yankees/nets/jets fan. $hashtag$"
Adrien_RG,"maker, conceptor & creative developer - $number$xbac3a9bd - $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$"
ClemsonJohn,calm and cool
Shady1277,"doctorate in physics, $number$ time olympic swimming gold medalist and professional liar."
oddbennett,dont take my tweets serious and if you do... *shrugs* shit happens...... look at my link and pin. i have no reason to be on here now.
KingClay__,$hashtag$ $hashtag$
DrRockt0pus,idiot from baltimore who thinks he is funny.
buomar94,computer engineer $mention$ khalifa university
fuckgivenchy,i just signed myself
mickbk,"journalist and producer with $mention$ on $mention$. always open to a spicy taco. views are my own, rt endorsement, duh."
downeysmile,hollow heart.
lesatorr,everything i do need a news crew's presence.
Aethylred,"helping build a supercomputer, because no-one's making giant robots, anyhow it's keeping busy until the send me to mars. all tweets cc-by $url$"
coloredcharms,"_ | $number$ | looking for a miracle, you're fucking with the right one | jess"
TomOrr777,"christian, conservative, baptist, believer in constitution and founders. own book business. republican. theologian, historian."
_ThatkidZach,$number$
RetiredTeacherD,"health nut, retired teacher, family man, programmer, developer, technician, pc4cnc, entrepreneur more god"
Kingabdul07,you dont need to much about me cuz my action and characters will tell you who i am. i am kingabdul
JLJ167,owner of jlj holdings llc real estate consultant. owner of feel real estate service llc
clrdougherty,"full-time cruising sailor, writer, abiding interest in books, boats, the sea, and classic guitar"
OnLocationEd,"creator of on location education, the nations premier educational consulting service for young performers. passion for education, film, theater & crime dramas."
ReggieThompson1,terrani's dad she comes before everybody! $hashtag$
KevinWGrossman,talent board $mention$ vp | $mention$ $hashtag$ show co-founder/co-host | tas/hcs certified $hashtag$ $hashtag$ | writer | wannabe drummer | grateful father
bob_ide,mu pt
Samkrazzzy,"when the going gets tough, the tough get going..."
StephenLockPA,formerly leading edelman indonesia & public affairs across se asia. joining $url$1 september $number$st as senior vice president & brazil lead
Kris_Knox,featured nfl columnist and gameday writer for bleacher report. former army engineer. lover of all things sarcasm and satire. pfwa member.
